Index,mouse_sample,G-CSF,Eotaxin,GM-CSF,INFg,IL-1a,IL-1b,IL-2,IL-4,IL-3,IL-5,IL-6,IL-7,IL-9,IL-10,IL-12p40,IL-12p70,LIF,IL-13,LIX,IL-15,IL-17,IP-10,KC,MCP-1,MIP-1a,MIP-1b,M-CSF,MIP2,MIG,RANTES,VEGF,TNFa
,3-2L,2439,17903,75,111290,291,137,110.5,499,82.5,1985,4495,110,153.5,196,233.5,53,1200,229,189,113,162,21858,411,1265.5,619,1245.5,105,91.5,23801,5039,225.5,194
,3-2L,1976,16486.5,45,109555.5,236,58.5,125,458.5,105.5,1217,3635,89.5,131,278.5,159,33,990,193,220,110,116,23373,322.5,1095.5,482,1054.5,94,84,23107,5668.5,228.5,160
,3-2T,1871,18248,42.5,5935,162,134.5,218,91.5,87.5,248,2430.5,67.5,99.5,193.5,150,42,668.5,106.5,152,84,83,52112,437,1830,335.5,690,257,7458.5,18550,1955,11863,85
,3-2T,1761,16739,36.5,5711,147.5,93.5,189.5,146,60.5,136,2267,85,86,198,134,36,589.5,66.5,164,73.5,77,53985,359,1797,376,765,199,6728,18989.5,1968.5,10468.5,64.5
,3-3L,1546.5,18620,83,143498.5,296,121,173,266,109,1083.5,4166,99.5,134,241.5,196.5,61,1850,188,214,89.5,156,13458.5,408.5,1682,561.5,1245.5,100,123,21511,7292.5,171,153
,3-3L,1501,19313.5,64,153502,266,99,115.5,308,104.5,1163,5185,94,77.5,305,230,64,2409,224,213,121,182.5,18415,382,1790,850.5,1244,107.5,65.5,21800,7029.5,210,168
,3-3T,4083,15526.5,65,7172,221,126,739,148.5,76,404.5,6014,83,126,169.5,137.5,45,1008,100,352.5,114,112,52956,1224,2197,2707.5,970,281,53731,20840,1544,20204,125
,3-3T,4069,14862,66,7540,215,100,747,178.5,79,429.5,5968,99.5,95,190,132,46.5,978,135,344.5,108,73,51904,1250.5,2298,2652,1083,261,55292.5,22390,1541.5,19961,106.5
,3-4L,1385,17718.5,91,137230,365,102,122.5,288,76,1313.5,4665,101,98,220,178,73,2051,264,242,81.5,181,21337.5,546,1826.5,800,1079,102,96,22945,7008,249.5,203
,3-4L,1284,17049.5,66.5,134882.5,330,91.5,116,206.5,73.5,942,3738,82,126,198.5,163,39,1719,207.5,208,86,179,18229.5,376,1256,670,1052,99.5,72,19244,6415,224,134.5
,3-4T,43785,15017,175,14789,582,325,656.5,638,327,530,57339.5,77,136,146,119,90,6253,212,1742.5,102,133,41611,20516.5,2207,36962,5655,186,80886,12649,1518,27074,670
,3-4T,15751,13037,135,13610.5,615,303,710.5,558,315,426.5,58033,86,155,138,128,85,6127,245,1317,90.5,114,38419,18089,2151.5,33469,5436,157,70570,13321,1420.5,26218,596
,3-5L,3858,15366,70,68881,205,77,129,357,111,272,2454.5,103,129,272,152,54,1400,213.5,230.5,84.5,142.5,18550,405,678,635.5,1043.5,90,79.5,19892,4699.5,286,123
,3-5L,4066,14476,68,31526.5,248.5,89,162,387.5,125.5,574.5,2344.5,112.5,146,239,210,68,1329.5,235,309,105.5,166,16607,497,877,541,1066.5,114,79,13757.5,3975,327.5,122
,3-5T,2614,13064,55,2624,128.5,79,180,80,63,147,5010,65,75,111,74,34,655,112.5,152,67.5,102,34024,602,845,289.5,728.5,122,3899.5,15294.5,947,4909,79
,3-5T,1350.5,7051.5,48,2669,198,73,151,64,84,260.5,4772,96,99,108.5,109,38.5,249.5,71,151.5,86,84,25582,545,910.5,275,976.5,158,3498,9449,938.5,3690.5,77
,3-6L,813,1719,58,37910,310,80,169,324,107,404,2695,88,148.5,179,209,57,411,166,184,80,115,3019.5,483.5,1451,372,1046,80,80,11637,1132,219,108
,3-6L,877.5,606,57,84286,229,74,133,203,97,317,2011,71,131,135.5,169.5,40,601,134,164.5,85,107,715.5,412,974.5,491,1016,70.5,67.5,2960,432.5,143.5,103
,3-6T,142,4667,32,1262,165,67,213.5,78,77,65,129,53,83,70,95.5,34,187.5,58,115.5,56.5,89,29398,549,159,628,886,87,370,2945,807,526,73
,3-6T,536,5846,44,7729.5,266,74,316,54,71,186,1257,77.5,96,92,83,52.5,138.5,63,205.5,70,72,15851,761,1838.5,779,890.5,91,7270,2834,1597,1785,93
